api,signature,cycle_ms
PRIVATE_IP_021,FC3_addr97_qty1,1998.671055
PRIVATE_IP_021,FC3_addr0_qty86,1000.285149
PRIVATE_IP_021,FC3_addr94_qty86,1000.697136
PRIVATE_IP_021,FC3_addr94_qty75,2000.826836
PRIVATE_IP_021,FC3_addr0_qty86,1000.159979
PRIVATE_IP_021,FC3_addr94_qty86,998.672962
PRIVATE_IP_021,FC3_addr0_qty75,2002.254963
PRIVATE_IP_021,FC3_addr3_qty1,2002.211094
PRIVATE_IP_021,FC3_addr97_qty1,1999.933004
PRIVATE_IP_021,FC3_addr0_qty86,1001.003027
PRIVATE_IP_021,FC3_addr94_qty86,1001.656055
PRIVATE_IP_021,FC3_addr94_qty75,1998.908043
PRIVATE_IP_021,FC3_addr0_qty86,1000.794888
PRIVATE_IP_021,FC3_addr94_qty86,1001.550913
PRIVATE_IP_021,FC3_addr0_qty75,2000.576973
PRIVATE_IP_021,FC3_addr3_qty1,2001.946926
PRIVATE_IP_021,FC3_addr97_qty1,2004.765034
PRIVATE_IP_021,FC3_addr0_qty86,1001.843929
PRIVATE_IP_021,FC3_addr94_qty86,1001.506090
PRIVATE_IP_021,FC3_addr94_qty75,2002.319098
PRIVATE_IP_021,FC3_addr0_qty86,1003.000021
PRIVATE_IP_021,FC3_addr94_qty86,1002.123833
PRIVATE_IP_021,FC3_addr0_qty75,2000.106096
PRIVATE_IP_021,FC3_addr3_qty1,2000.225067
PRIVATE_IP_021,FC3_addr97_qty1,1997.720957
PRIVATE_IP_021,FC3_addr0_qty86,997.527122
PRIVATE_IP_021,FC3_addr94_qty86,994.007111
PRIVATE_IP_021,FC3_addr94_qty75,1999.779940
PRIVATE_IP_021,FC3_addr0_qty86,1001.025915
PRIVATE_IP_021,FC3_addr94_qty86,1003.433943
PRIVATE_IP_021,FC3_addr0_qty75,2002.727032
PRIVATE_IP_021,FC3_addr3_qty1,2001.472950
PRIVATE_IP_021,FC3_addr97_qty1,2000.883102
PRIVATE_IP_021,FC3_addr0_qty86,1000.378132
PRIVATE_IP_021,FC3_addr94_qty86,1001.554966
PRIVATE_IP_021,FC3_addr94_qty75,2001.100063
PRIVATE_IP_021,FC3_addr0_qty86,1001.650810
PRIVATE_IP_021,FC3_addr94_qty86,1000.256062
PRIVATE_IP_021,FC3_addr0_qty75,1999.701023
PRIVATE_IP_021,FC3_addr3_qty1,1997.282028
PRIVATE_IP_021,FC3_addr97_qty1,1997.066975
PRIVATE_IP_021,FC3_addr0_qty86,999.515057
PRIVATE_IP_021,FC3_addr94_qty86,1002.355099
PRIVATE_IP_021,FC3_addr94_qty75,2000.635862
PRIVATE_IP_021,FC3_addr0_qty86,1000.429153
PRIVATE_IP_021,FC3_addr94_qty86,999.159813
PRIVATE_IP_021,FC3_addr0_qty75,2000.308990
PRIVATE_IP_021,FC3_addr3_qty1,2002.125978
PRIVATE_IP_021,FC3_addr97_qty1,2004.423857
PRIVATE_IP_021,FC3_addr0_qty86,1001.796961
PRIVATE_IP_021,FC3_addr94_qty86,1000.285149
PRIVATE_IP_021,FC3_addr94_qty75,2002.201080
PRIVATE_IP_021,FC3_addr0_qty86,999.847889
PRIVATE_IP_021,FC3_addr94_qty86,1003.567934
PRIVATE_IP_021,FC3_addr0_qty75,2000.935793
PRIVATE_IP_021,FC3_addr3_qty1,2004.745007
PRIVATE_IP_021,FC3_addr97_qty1,2010.432005
PRIVATE_IP_021,FC3_addr0_qty86,1002.140999
PRIVATE_IP_021,FC3_addr94_qty86,997.472048
PRIVATE_IP_021,FC3_addr94_qty75,1998.678923
PRIVATE_IP_021,FC3_addr0_qty86,999.919176
PRIVATE_IP_021,FC3_addr94_qty86,1001.410007
PRIVATE_IP_021,FC3_addr0_qty75,2001.284122
PRIVATE_IP_021,FC3_addr3_qty1,2001.923084
PRIVATE_IP_021,FC3_addr97_qty1,1994.836092
PRIVATE_IP_021,FC3_addr0_qty86,1001.223803
PRIVATE_IP_021,FC3_addr94_qty86,1000.598907
PRIVATE_IP_021,FC3_addr94_qty75,2002.090931
PRIVATE_IP_021,FC3_addr0_qty86,1001.718998
PRIVATE_IP_021,FC3_addr94_qty86,1002.720118
PRIVATE_IP_021,FC3_addr0_qty75,1999.605894
PRIVATE_IP_021,FC3_addr3_qty1,1992.941856
PRIVATE_IP_021,FC3_addr97_qty1,1990.761995
PRIVATE_IP_021,FC3_addr0_qty86,999.611139
PRIVATE_IP_021,FC3_addr94_qty86,999.134064
PRIVATE_IP_021,FC3_addr94_qty75,1999.346018
PRIVATE_IP_021,FC3_addr0_qty86,1003.072023
PRIVATE_IP_021,FC3_addr94_qty86,1001.892805
PRIVATE_IP_021,FC3_addr0_qty75,2001.286983
PRIVATE_IP_021,FC3_addr3_qty1,2003.531933
PRIVATE_IP_021,FC3_addr97_qty1,2005.933046
PRIVATE_IP_021,FC3_addr0_qty86,999.601841
PRIVATE_IP_021,FC3_addr94_qty86,998.342991
PRIVATE_IP_021,FC3_addr94_qty75,2000.084162
PRIVATE_IP_021,FC3_addr0_qty86,1001.340151
PRIVATE_IP_021,FC3_addr94_qty86,1001.625061
PRIVATE_IP_021,FC3_addr0_qty75,1998.781204
PRIVATE_IP_021,FC3_addr3_qty1,1996.466160
PRIVATE_IP_021,FC3_addr97_qty1,1997.030020
PRIVATE_IP_021,FC3_addr0_qty86,1001.103878
PRIVATE_IP_021,FC3_addr94_qty86,1006.633997
PRIVATE_IP_021,FC3_addr94_qty75,1999.286890
PRIVATE_IP_021,FC3_addr0_qty86,999.731064
PRIVATE_IP_021,FC3_addr94_qty86,993.463039
PRIVATE_IP_021,FC3_addr0_qty75,2002.259016
PRIVATE_IP_021,FC3_addr3_qty1,2004.526854
