epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_macsec0_rx_mbps,net_macsec0_tx_mbps,net_macsec0_total_mbps,net_macsec0_rx_pps,net_macsec0_tx_pps,net_macsec0_rx_errors_s,net_macsec0_tx_errors_s,net_macsec0_rx_drops_s,net_macsec0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781801642.348201865,2026-06-18T16:54:02+00:00,3.712,0.46,7783.762,7255.434,528.328,6.788,0.000,49.00,0.007648,0.015448,0.023096,16.000000,18.000000,0.000000,0.000000,1.000000,0.000000,0.015552,0.020056,0.035608,23.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.014968,0.010544,0.025512,17.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801643.497923332,2026-06-18T16:54:03+00:00,3.501,0.46,7783.762,7256.051,527.711,6.780,0.000,48.00,0.006256,0.009464,0.015720,13.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.016656,0.012280,0.028936,23.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.009464,0.013328,0.022792,11.000000,23.000000,0.000000,0.000000,0.000000,0.000000
1781801644.646201424,2026-06-18T16:54:04+00:00,3.922,0.43,7783.762,7256.855,526.906,6.769,0.000,48.00,0.006656,0.009368,0.016024,14.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.013600,0.012184,0.025784,21.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.009368,0.010976,0.020344,11.000000,23.000000,0.000000,0.000000,0.000000,0.000000
1781801646.002417646,2026-06-18T16:54:06+00:00,6.865,0.43,7783.762,7257.781,525.980,6.757,0.000,48.00,0.007744,0.012712,0.020456,16.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.014944,0.015784,0.030728,22.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.012712,0.009632,0.022344,12.000000,20.000000,0.000000,0.000000,0.000000,0.000000
1781801647.330047297,2026-06-18T16:54:07+00:00,6.452,0.43,7783.762,7258.051,525.711,6.754,0.000,48.00,0.007216,0.011168,0.018384,15.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.017104,0.014240,0.031344,22.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.011168,0.012848,0.024016,12.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801648.629037851,2026-06-18T16:54:08+00:00,6.008,0.43,7783.762,7255.059,528.703,6.792,0.000,49.00,0.008144,0.009816,0.017960,17.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.015184,0.012888,0.028072,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.009816,0.010592,0.020408,12.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801649.778005026,2026-06-18T16:54:09+00:00,4.386,0.39,7783.762,7256.859,526.902,6.769,0.000,48.00,0.006256,0.009432,0.015688,13.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.015696,0.012248,0.027944,21.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.009432,0.012368,0.021800,11.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801650.926189419,2026-06-18T16:54:10+00:00,3.712,0.39,7783.762,7259.145,524.617,6.740,0.000,48.00,0.004768,0.008392,0.013160,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.011984,0.014968,0.026952,19.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.012152,0.010048,0.022200,11.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801652.295374166,2026-06-18T16:54:12+00:00,7.339,0.39,7783.762,7257.816,525.945,6.757,0.000,48.00,0.009136,0.015408,0.024544,19.000000,15.000000,0.000000,0.000000,1.000000,0.000000,0.016512,0.014976,0.031488,24.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.011648,0.010112,0.021760,13.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801653.458662137,2026-06-18T16:54:13+00:00,4.104,0.39,7783.762,7259.684,524.078,6.733,0.000,48.00,0.006256,0.013320,0.019576,13.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.012960,0.016648,0.029608,20.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.011848,0.012000,0.023848,16.000000,25.000000,0.000000,0.000000,0.000000,0.000000
