sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
130,129,24032.0,4.03515625,1391.15234375,397.36328125,20579.12890625,22367.64453125,22640.84765625,94.21125023406292,1664.35546875,6.925580345997004,0.0,0.0,2357.0,5.0,3.0,92.0,0.0
131,130,24032.0,4.03515625,1393.34375,397.36328125,20579.1484375,22369.85546875,22638.65625,94.20213153295606,1662.14453125,6.916380373044275,0.0,0.0,2141.0,5.0,2.0,93.0,0.0
132,131,24032.0,4.03515625,1385.484375,397.36328125,20579.16015625,22362.0078125,22646.515625,94.23483532373503,1669.9921875,6.9490354007157125,0.0,0.0,4145.0,5.0,3.0,92.0,0.0
133,132,24032.0,4.03515625,1382.81640625,397.36328125,20579.1953125,22359.375,22649.18359375,94.24593705788115,1672.625,6.959990845539281,0.0,0.0,3101.0,6.0,4.0,90.0,0.0
134,133,24032.0,4.03515625,1380.9140625,397.36328125,20579.234375,22357.51171875,22651.0859375,94.2538529356691,1674.48828125,6.967744179635487,0.0,0.0,6077.0,6.0,4.0,90.0,0.0
135,134,24032.0,4.03515625,1378.9453125,397.36328125,20579.25390625,22355.5625,22653.0546875,94.26204513773303,1676.4375,6.975855109853529,0.0,0.0,2233.0,4.0,2.0,94.0,0.0
136,135,24032.0,4.03515625,1377.22265625,397.36328125,20579.29296875,22353.87890625,22654.77734375,94.26921331453894,1678.12109375,6.98286074296771,0.0,0.0,2174.0,4.0,2.0,94.0,0.0
137,136,24032.0,4.03515625,1375.5,397.36328125,20579.30859375,22352.171875,22656.5,94.27638149134488,1679.828125,6.989963902296938,0.0,0.0,2372.0,8.0,2.0,89.0,0.0
138,137,24032.0,4.03515625,1370.09765625,397.3671875,20579.32421875,22346.7890625,22661.90234375,94.29886128391311,1685.2109375,7.012362423019308,0.0,0.0,2849.0,5.0,4.0,91.0,0.0
139,138,24032.0,4.03515625,1369.38671875,397.3671875,20579.375,22346.12890625,22662.61328125,94.30181957910287,1685.87109375,7.015109411409787,0.0,0.0,2279.0,5.0,3.0,92.0,0.0
140,139,24032.0,4.03515625,1378.87890625,397.3671875,20579.38671875,22355.6328125,22653.12109375,94.262321462009,1676.3671875,6.975562531208388,0.0,0.0,2429.0,4.0,2.0,93.0,0.0
141,140,24032.0,4.03515625,1376.69140625,397.3671875,20579.4140625,22353.47265625,22655.30859375,94.27142390874667,1678.52734375,6.98455119736185,0.0,0.0,2008.0,4.0,2.0,94.0,0.0
142,141,24032.0,4.03515625,1378.04296875,397.3671875,20579.4296875,22354.83984375,22653.95703125,94.26579989701231,1677.16015625,6.9788621681507985,0.0,0.0,4010.0,5.0,3.0,92.0,0.0
143,142,24032.0,4.03515625,1375.1484375,397.3671875,20579.47265625,22351.98828125,22656.8515625,94.27784438457057,1680.01171875,6.990727857648135,0.0,0.0,2301.0,4.0,2.0,94.0,0.0
144,143,24032.0,4.03515625,1371.91796875,397.3671875,20579.4921875,22348.77734375,22660.08203125,94.29128674787783,1683.22265625,7.00408894910952,0.0,0.0,4191.0,7.0,4.0,89.0,0.0
145,144,24032.0,4.03515625,1368.23046875,397.3671875,20579.53125,22345.12890625,22663.76953125,94.30663087237849,1686.87109375,7.019270529918442,0.0,0.0,3256.0,6.0,3.0,91.0,0.0
146,145,24032.0,4.03515625,1367.79296875,397.3671875,20579.54296875,22344.703125,22664.20703125,94.30845136172603,1687.296875,7.021042256158455,0.0,0.0,2219.0,4.0,2.0,93.0,0.0
147,146,24032.0,4.03515625,1370.265625,397.3671875,20579.56640625,22347.19921875,22661.734375,94.29816234603862,1684.80078125,7.010655714255992,0.0,0.0,2512.0,4.0,2.0,93.0,0.0
148,147,24032.0,4.03515625,1376.99609375,397.3671875,20579.58984375,22353.953125,22655.00390625,94.27015606795106,1678.046875,6.982551909953395,0.0,0.0,2115.0,4.0,2.0,94.0,0.0
149,148,24032.0,4.03515625,1370.6015625,397.3671875,20579.625,22347.59375,22661.3984375,94.29676447028962,1684.40625,7.0090140229693745,0.0,0.0,3286.0,10.0,4.0,86.0,0.0
150,149,24032.0,4.03515625,1370.1484375,397.3671875,20579.6328125,22347.1484375,22661.8515625,94.29864997711384,1684.8515625,7.01086702105526,0.0,0.0,2488.0,5.0,3.0,93.0,0.0
151,150,24032.0,4.03515625,1371.6796875,397.3671875,20579.66796875,22348.71484375,22660.3203125,94.29227826439747,1683.28515625,7.0043490190163125,0.0,0.0,4233.0,6.0,3.0,92.0,0.0
152,151,24032.0,4.03515625,1377.65625,397.3671875,20579.68359375,22354.70703125,22654.34375,94.26740907956058,1677.29296875,6.97941481670273,0.0,0.0,2143.0,4.0,2.0,94.0,0.0
153,152,24032.0,4.03515625,1378.63671875,397.3671875,20579.7109375,22355.71484375,22653.36328125,94.2633292328978,1676.28515625,6.975221189455725,0.0,0.0,2120.0,4.0,2.0,93.0,0.0
154,153,24032.0,4.03515625,1378.14453125,397.3671875,20579.75,22355.26171875,22653.85546875,94.26537728341378,1676.73828125,6.97710669627996,0.0,0.0,2972.0,6.0,4.0,90.0,0.0
155,154,24032.0,4.03515625,1377.01953125,397.3671875,20579.76953125,22354.15625,22654.98046875,94.27005854173602,1677.84375,6.981706682756325,0.0,0.0,2103.0,4.0,2.0,94.0,0.0
156,155,24032.0,4.03515625,1384.08984375,397.3671875,20579.79296875,22361.25,22647.91015625,94.2406381335303,1670.75,6.952188748335553,0.0,0.0,2445.0,5.0,3.0,93.0,0.0
157,156,24032.0,4.03515625,1381.47265625,397.3671875,20579.8125,22358.65234375,22650.52734375,94.25152856087716,1673.34765625,6.962997903836551,0.0,0.0,2431.0,4.0,2.0,93.0,0.0
158,157,24032.0,4.03515625,1384.84765625,397.3671875,20579.8515625,22362.06640625,22647.15234375,94.23748478591045,1669.93359375,6.948791585178096,0.0,0.0,2215.0,4.0,2.0,94.0,0.0
159,158,24032.0,4.03515625,1375.359375,397.3671875,20579.87890625,22352.60546875,22656.640625,94.27696664863515,1679.39453125,6.988159667318575,0.0,0.0,3185.0,5.0,4.0,91.0,0.0
160,159,24032.0,4.03515625,1376.08984375,397.3671875,20580.00390625,22353.4609375,22655.91015625,94.27392708159952,1678.5390625,6.9845999604693745,0.0,0.0,2874.0,9.0,3.0,88.0,0.0
161,160,24032.0,4.03515625,1373.38671875,397.3671875,20580.0234375,22350.77734375,22658.61328125,94.28517510506825,1681.22265625,6.995766712092211,0.0,0.0,2057.0,4.0,2.0,94.0,0.0
162,161,24032.0,4.03515625,1378.98046875,397.3671875,20580.03125,22356.37890625,22653.01953125,94.26189884841045,1675.62109375,6.972457946696071,0.0,0.0,4311.0,5.0,3.0,92.0,0.0
163,162,24032.0,4.03515625,1375.796875,397.3671875,20580.06640625,22353.23046875,22656.203125,94.27514615928762,1678.76953125,6.985558968250666,0.0,0.0,2382.0,4.0,2.0,93.0,0.0
164,163,24032.0,4.03515625,1367.234375,397.3671875,20580.09375,22344.6953125,22664.765625,94.31077573651797,1687.3046875,7.021074764896803,0.0,0.0,5262.0,6.0,3.0,91.0,0.0
165,164,24032.0,4.03515625,1377.4453125,397.3671875,20580.37890625,22355.19140625,22654.5546875,94.26828681549601,1676.80859375,6.9773992749251,0.0,0.0,3093.0,6.0,5.0,89.0,0.0
166,165,24032.0,4.03515625,1381.76171875,397.3671875,20580.38671875,22359.515625,22650.23828125,94.25032573755826,1672.484375,6.959405688249001,0.0,0.0,2541.0,5.0,2.0,93.0,0.0
167,166,24032.0,4.03515625,1380.8046875,397.3671875,20580.4296875,22358.6015625,22651.1953125,94.25430805800599,1673.3984375,6.963209210635819,0.0,0.0,2190.0,4.0,2.0,94.0,0.0
168,167,24032.0,4.03515625,1383.21484375,397.3671875,20580.44140625,22361.0234375,22648.78515625,94.24427911222537,1670.9765625,6.95313150174767,0.0,0.0,2391.0,4.0,2.0,94.0,0.0
169,168,24032.0,4.03515625,1379.3046875,397.3671875,20580.4765625,22357.1484375,22652.6953125,94.26054973576898,1674.8515625,6.969255835968709,0.0,0.0,2196.0,5.0,2.0,93.0,0.0
170,169,24032.0,4.03515625,1373.43359375,397.3671875,20580.49609375,22351.296875,22658.56640625,94.28498005263815,1680.703125,6.99360488099201,0.0,0.0,3250.0,6.0,4.0,90.0,0.0
171,170,24032.0,4.03515625,1385.83203125,397.3671875,20580.53515625,22363.734375,22646.16796875,94.23338868487849,1668.265625,6.941850969540613,0.0,0.0,2680.0,9.0,3.0,89.0,0.0
172,171,24032.0,4.03515625,1377.7421875,397.3671875,20580.546875,22355.65625,22654.2578125,94.26705148343875,1676.34375,6.975465004993342,0.0,0.0,4197.0,5.0,3.0,92.0,0.0
173,172,24032.0,4.03515625,1376.3046875,397.3671875,20580.58203125,22354.25390625,22655.6953125,94.27303309129495,1677.74609375,6.9813003235269635,0.0,0.0,2255.0,4.0,2.0,94.0,0.0
174,173,24032.0,4.03515625,1382.30078125,397.3671875,20580.59765625,22360.265625,22649.69921875,94.24808263461219,1671.734375,6.95628484936751,0.0,0.0,2340.0,5.0,2.0,93.0,0.0
175,174,24032.0,4.03515625,1375.21484375,397.3671875,20580.640625,22353.22265625,22656.78515625,94.2775680602946,1678.77734375,6.985591476989014,0.0,0.0,5016.0,7.0,5.0,88.0,0.0
176,175,24032.0,4.03515625,1373.2734375,397.3671875,20580.6640625,22351.3046875,22658.7265625,94.2856464817743,1680.6953125,6.993572372253662,0.0,0.0,2338.0,5.0,2.0,93.0,0.0
177,176,24032.0,4.03515625,1372.53515625,397.3671875,20580.69140625,22350.59375,22659.46484375,94.28871855754826,1681.40625,6.996530667443408,0.0,0.0,2275.0,4.0,2.0,94.0,0.0
178,177,24032.0,4.03515625,1379.05859375,397.3671875,20580.69921875,22357.125,22652.94140625,94.26157376102697,1674.875,6.969353362183756,0.0,0.0,2242.0,4.0,2.0,94.0,0.0
179,178,24032.0,4.03515625,1376.37890625,397.3671875,20580.73828125,22354.484375,22655.62109375,94.27272425828063,1677.515625,6.980341315745672,0.0,0.0,2248.0,5.0,3.0,93.0,0.0
180,179,24032.0,4.03515625,1372.3125,397.3671875,20580.73828125,22350.41796875,22659.6875,94.28964505659121,1681.58203125,6.997262114056259,0.0,0.0,3201.0,6.0,4.0,90.0,0.0
181,180,24032.0,4.03515625,1380.9296875,397.3671875,20580.9140625,22359.2109375,22651.0703125,94.25378791819242,1672.7890625,6.960673529044607,0.0,0.0,3925.0,5.0,3.0,92.0,0.0
182,181,24032.0,4.03515625,1378.609375,397.3671875,20580.92578125,22356.90234375,22653.390625,94.26344301348203,1675.09765625,6.9702798612266985,0.0,0.0,2501.0,8.0,2.0,89.0,0.0
183,182,24032.0,4.03515625,1376.43359375,397.3671875,20580.96875,22354.76953125,22655.56640625,94.27249669711219,1677.23046875,6.979154746795939,0.0,0.0,2156.0,4.0,2.0,94.0,0.0
184,183,24032.0,4.03515625,1379.73828125,397.37109375,20580.96875,22358.078125,22652.26171875,94.25874550079061,1673.921875,6.965387296105193,0.0,0.0,2182.0,4.0,2.0,93.0,0.0
185,184,24032.0,4.03515625,1376.46484375,397.37109375,20581.0,22354.8359375,22655.53515625,94.27236666215879,1677.1640625,6.9788784225199745,0.0,0.0,2356.0,4.0,2.0,93.0,0.0
186,185,24032.0,4.03515625,1381.0234375,397.37109375,20581.0234375,22359.41796875,22650.9765625,94.25339781333223,1672.58203125,6.959812047478363,0.0,0.0,3248.0,6.0,5.0,89.0,0.0
187,186,24032.0,4.03515625,1379.30078125,397.37109375,20581.0625,22357.734375,22652.69921875,94.26056599013815,1674.265625,6.966817680592544,0.0,0.0,2258.0,5.0,2.0,93.0,0.0
188,187,24032.0,4.03515625,1378.8125,397.37109375,20581.07421875,22357.2578125,22653.1875,94.26259778628496,1674.7421875,6.968800713631825,0.0,0.0,2155.0,4.0,2.0,94.0,0.0
189,188,24032.0,4.03515625,1385.140625,397.37109375,20581.1171875,22363.62890625,22646.859375,94.23626570822236,1668.37109375,6.942289837508323,0.0,0.0,2097.0,5.0,2.0,93.0,0.0
190,189,24032.0,4.03515625,1383.1796875,397.37109375,20581.14453125,22361.6953125,22648.8203125,94.24442540154794,1670.3046875,6.950335750249667,0.0,0.0,2010.0,4.0,2.0,94.0,0.0
