request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
18504,18507,PRIVATE_IP_001,PRIVATE_IP_016,8,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016,1781798531.390597,1781798531.3945026,3.9055347442626953,matched,False,,12,75
18508,18509,PRIVATE_IP_001,PRIVATE_IP_026,194,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026,1781798531.4022312,1781798531.4041715,1.9402503967285156,matched,False,,12,69
18511,18512,PRIVATE_IP_001,PRIVATE_IP_020,194,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781798531.4042425,1781798531.4091272,4.8847198486328125,matched,False,,12,209
18517,18518,PRIVATE_IP_001,PRIVATE_IP_022,129,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022,1781798531.691349,1781798531.6977303,6.38127326965332,matched,False,,12,181
18520,18521,PRIVATE_IP_001,PRIVATE_IP_022,130,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022,1781798531.7010674,1781798531.7078393,6.77180290222168,matched,False,,12,181
18553,18574,PRIVATE_IP_001,PRIVATE_IP_016,5,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,1781798532.1043077,1781798532.1125371,8.229494094848633,matched,False,,12,11
18563,18576,PRIVATE_IP_001,PRIVATE_IP_018,3,1,3,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_018,1781798532.109223,1781798532.112913,3.690004348754883,matched,False,,12,11
18564,18591,PRIVATE_IP_001,PRIVATE_IP_013,6,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,1781798532.1092713,1781798532.1258845,16.613245010375977,matched,False,,12,53
18565,18588,PRIVATE_IP_001,PRIVATE_IP_015,6,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015,1781798532.1093066,1781798532.1254365,16.12997055053711,matched,False,,12,53
18566,18593,PRIVATE_IP_001,PRIVATE_IP_014,6,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,1781798532.1093388,1781798532.128473,19.1342830657959,matched,False,,12,53
18567,18578,PRIVATE_IP_001,PRIVATE_IP_020,6,1,3,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020,1781798532.1093624,1781798532.113955,4.592657089233398,matched,False,,12,161
18568,18581,PRIVATE_IP_001,PRIVATE_IP_022,121,1,3,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022,1781798532.1094081,1781798532.1153212,5.913019180297852,matched,False,,12,159
