frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
172,1781798344.0068915,PRIVATE_IP_020,PRIVATE_IP_001,502,41420,response,161,0,0,0,1,0
173,1781798344.0069404,PRIVATE_IP_001,PRIVATE_IP_020,41420,502,query,0,0,0,0,1,0
174,1781798344.0083544,PRIVATE_IP_022,PRIVATE_IP_001,502,35200,response,0,0,1,0,1,0
175,1781798344.0083883,PRIVATE_IP_001,PRIVATE_IP_022,35200,502,query,0,0,0,0,1,0
176,1781798344.0105567,PRIVATE_IP_016,PRIVATE_IP_001,502,43888,response,11,0,0,0,1,0
177,1781798344.0106158,PRIVATE_IP_001,PRIVATE_IP_016,43888,502,query,0,0,0,0,1,0
178,1781798344.0111666,PRIVATE_IP_022,PRIVATE_IP_001,502,60586,response,159,0,0,0,1,0
179,1781798344.01121,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,0,0,0,0,1,0
180,1781798344.013442,PRIVATE_IP_001,PRIVATE_IP_016,43888,502,query,12,0,0,0,1,0
181,1781798344.0144746,PRIVATE_IP_016,PRIVATE_IP_001,502,38362,response,0,0,1,0,1,0
182,1781798344.0145273,PRIVATE_IP_001,PRIVATE_IP_016,38362,502,query,0,0,0,0,1,0
183,1781798344.015138,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,12,0,0,0,1,0
184,1781798344.0187583,PRIVATE_IP_014,PRIVATE_IP_001,502,39968,response,53,0,0,0,1,0
185,1781798344.018833,PRIVATE_IP_001,PRIVATE_IP_014,39968,502,query,0,0,0,0,1,0
186,1781798344.0188768,PRIVATE_IP_016,PRIVATE_IP_001,502,38372,response,0,0,1,0,1,0
187,1781798344.0189145,PRIVATE_IP_001,PRIVATE_IP_016,38372,502,query,0,0,0,0,1,0
188,1781798344.0205402,PRIVATE_IP_016,PRIVATE_IP_001,502,43888,response,11,0,0,0,1,0
189,1781798344.0226228,PRIVATE_IP_015,PRIVATE_IP_001,502,49162,response,53,0,0,0,1,0
190,1781798344.022684,PRIVATE_IP_001,PRIVATE_IP_015,49162,502,query,0,0,0,0,1,0
191,1781798344.0230978,PRIVATE_IP_022,PRIVATE_IP_001,502,60586,response,11,0,0,0,1,0
192,1781798344.0254004,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,12,0,0,0,1,0
193,1781798344.025973,PRIVATE_IP_013,PRIVATE_IP_001,502,34650,response,53,0,0,0,1,0
194,1781798344.0260477,PRIVATE_IP_001,PRIVATE_IP_013,34650,502,query,0,0,0,0,1,0
195,1781798344.0311775,PRIVATE_IP_022,PRIVATE_IP_001,502,60586,response,11,0,0,0,1,0
196,1781798344.06118,PRIVATE_IP_001,PRIVATE_IP_016,43888,502,query,0,0,0,0,1,0
197,1781798344.0721872,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,0,0,0,0,1,0
198,1781798344.2528486,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
199,1781798344.2587466,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,53,0,0,0,1,0
200,1781798344.258785,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
201,1781798344.2630756,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
202,1781798344.2702081,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,257,0,0,0,1,0
203,1781798344.2752092,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
204,1781798344.2811785,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,185,0,0,0,1,0
205,1781798344.2878318,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,12,0,0,0,1,0
206,1781798344.2878954,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,12,0,0,0,1,0
207,1781798344.2879274,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,12,0,0,0,1,0
208,1781798344.287967,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,12,0,0,0,1,0
209,1781798344.2880008,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,12,0,0,0,1,0
210,1781798344.288117,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
211,1781798344.2900949,PRIVATE_IP_026,PRIVATE_IP_001,502,51880,response,69,0,0,0,1,0
212,1781798344.2901742,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,0,0,0,0,1,0
213,1781798344.291709,PRIVATE_IP_021,PRIVATE_IP_001,502,45716,response,209,0,0,0,1,0
214,1781798344.2917893,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,0,0,0,0,1,0
215,1781798344.2924538,PRIVATE_IP_018,PRIVATE_IP_001,502,46478,response,209,0,0,0,1,0
216,1781798344.292501,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,0,0,0,0,1,0
217,1781798344.2925417,PRIVATE_IP_019,PRIVATE_IP_001,502,49960,response,209,0,0,0,1,0
218,1781798344.2925775,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,0,0,0,0,1,0
219,1781798344.2937732,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,75,0,0,0,1,0
220,1781798344.2951095,PRIVATE_IP_020,PRIVATE_IP_001,502,52010,response,209,0,0,0,1,0
221,1781798344.2951548,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,0,0,0,0,1,0
222,1781798344.334144,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
