procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1404600 406904 21073580    0    0     0   168 4186 4233  6  3 92  0  0  0
 2  0   4132 1410720 406904 21073596    0    0     0   216 2626 2143  4  2 94  0  0  0
 0  0   4132 1411724 406904 21073624    0    0     0   504 2707 2120  4  2 93  0  0  0
 0  0   4132 1411220 406904 21073664    0    0     0   136 3806 2972  6  4 90  0  0  0
 0  0   4132 1410068 406904 21073684    0    0     0   864 2781 2103  4  2 94  0  0  0
 0  0   4132 1417308 406904 21073708    0    0     0   352 3044 2445  5  3 93  0  0  0
 0  0   4132 1414628 406904 21073728    0    0     0   392 2949 2431  4  2 93  0  0  0
 1  0   4132 1418084 406904 21073768    0    0     0    80 2633 2215  4  2 94  0  0  0
 2  0   4132 1408368 406904 21073796    0    0     0   180 3894 3185  5  4 91  0  0  0
 0  0   4132 1409116 406904 21073924    0    0     0    88 3854 2874  9  3 88  0  0  0
 1  0   4132 1406348 406904 21073944    0    0     0   152 2503 2057  4  2 94  0  0  0
 0  0   4132 1412076 406904 21073952    0    0     0   344 4347 4311  5  3 92  0  0  0
 0  0   4132 1408816 406904 21073988    0    0     0   112 2958 2382  4  2 93  0  0  0
 0  0   4132 1400048 406904 21074016    0    0     0    88 4922 5262  6  3 91  0  0  0
 1  0   4132 1410504 406904 21074308    0    0     0   908 4385 3093  6  5 89  0  0  0
 0  0   4132 1414924 406904 21074316    0    0     0   108 3092 2541  5  2 93  0  0  0
 0  0   4132 1413944 406904 21074360    0    0     0   236 2663 2190  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1416412 406904 21074372    0    0     0    88 2834 2391  4  2 94  0  0  0
 0  0   4132 1412408 406904 21074408    0    0     0   124 2845 2196  5  2 93  0  0  0
 1  0   4132 1406396 406904 21074428    0    0     0   884 4132 3250  6  4 90  0  0  0
 0  0   4132 1419092 406904 21074468    0    0     0   140 3528 2680  9  3 89  0  0  0
 0  0   4132 1410808 406904 21074480    0    0     0   196 4024 4197  5  3 92  0  0  0
