frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
214,1781802247.891227,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,14,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
224,1781802248.866048,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,168,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
225,1781802248.8721802,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,168,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
227,1781802248.8737965,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,15,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
228,1781802248.8792408,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,15,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
230,1781802248.8816812,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,16,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
231,1781802248.889326,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,16,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
240,1781802249.8543243,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,169,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
241,1781802249.862254,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,169,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
243,1781802249.8654575,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,170,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
244,1781802249.8725488,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,170,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
