frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
116,1781802242.8707266,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
117,1781802242.8770761,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
118,1781802242.877122,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
119,1781802242.8825898,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
120,1781802242.8892279,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
121,1781802242.9300876,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
122,1781802243.4331963,PRIVATE_IP_001,PRIVATE_IP_021,47118,502,query,0,1,0,0,0,0
123,1781802243.4370677,PRIVATE_IP_021,PRIVATE_IP_001,502,47118,response,0,1,0,0,1,0
124,1781802243.4371247,PRIVATE_IP_001,PRIVATE_IP_021,47118,502,query,0,0,0,0,1,0
125,1781802243.437232,PRIVATE_IP_001,PRIVATE_IP_021,47118,502,query,0,0,1,0,1,0
126,1781802243.4410717,PRIVATE_IP_021,PRIVATE_IP_001,502,47118,response,0,0,0,0,1,0
127,1781802243.4453897,PRIVATE_IP_021,PRIVATE_IP_001,502,47118,response,0,0,1,0,1,0
128,1781802243.4454286,PRIVATE_IP_001,PRIVATE_IP_021,47118,502,query,0,0,0,0,1,0
129,1781802243.8496432,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
130,1781802243.857007,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
131,1781802243.8571553,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
132,1781802243.8611221,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
133,1781802243.8676527,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
134,1781802243.8704944,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
135,1781802243.8706088,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
136,1781802243.8771603,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
137,1781802243.8772573,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
138,1781802243.8787186,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
139,1781802243.8838468,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
140,1781802243.896385,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
141,1781802243.9191236,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
