procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2323984 402272 20333504    0    0     0   224 3343 2337  5  2 93  0  0  0
 1  0   4132 2327956 402272 20333672    0    0     0   168 4579 3312  6  4 90  0  0  0
 0  0   4132 2322340 402272 20333684    0    0     0   112 3476 2506  5  3 93  0  0  0
 0  0   4132 2321060 402272 20333732    0    0     0    72 3006 2143  4  2 94  0  0  0
 0  0   4132 2321108 402272 20333740    0    0     0   320 3596 2635  5  2 93  0  0  0
 2  0   4132 2321048 402272 20333784    0    0     0    80 3063 2053  4  2 94  0  0  0
 1  0   4132 2319796 402272 20333784    0    0     0   948 6201 5236  7  5 88  0  0  0
 1  0   4132 2326896 402272 20333828    0    0     0    88 3465 2362  5  3 93  0  0  0
 1  0   4132 2333024 402272 20333836    0    0     0   104 3190 2185  4  2 93  0  0  0
 0  0   4132 2332340 402272 20333884    0    0     0   384 3289 2054  9  2 89  0  0  0
 0  0   4132 2330072 402272 20333888    0    0     0   104 3035 2054  5  2 93  0  0  0
 0  0   4132 2327808 402272 20333944    0    0     0   124 2973 2010  4  2 94  0  0  0
 1  0   4132 2321356 402272 20333948    0    0     0  1100 4484 2993  6  4 90  0  0  0
 0  0   4132 2320752 402272 20333992    0    0     0    76 3368 2271  5  3 92  0  0  0
 0  0   4132 2319280 402272 20333996    0    0     0   224 3371 2301  5  2 93  0  0  0
 1  0   4132 2324428 402272 20334052    0    0     0    80 3150 2204  4  2 94  0  0  0
 1  0   4132 2325512 402272 20334060    0    0     0   132 3382 2275  5  3 92  0  0  0
 1  0   4132 2325800 402272 20334104    0    0     0   804 4818 3305  6  5 89  0  0  0
 0  0   4132 2319080 402272 20334120    0    0     0   108 3174 2200  5  3 93  0  0  0
 0  0   4132 2319080 402272 20334164    0    0     0   312 3386 2004  9  3 88  0  0  0
 0  0   4132 2319696 402272 20334204    0    0     0   112 3665 2790  5  3 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2319180 402272 20334240    0    0     0   100 3129 2131  4  3 93  0  0  0
 0  0   4132 2314732 402272 20334264    0    0     0   160 4440 3494  6  4 90  0  0  0
 1  0   4132 2323128 402276 20334300    0    0     0   880 3486 2339  5  3 92  0  0  0
 0  0   4132 2316064 402276 20334332    0    0     0   204 3178 2187  5  3 93  0  0  0
 0  0   4132 2321100 402276 20334348    0    0     0    72 3019 2167  4  2 94  0  0  0
 2  0   4132 2321772 402276 20334372    0    0     0   212 4779 4122  5  3 91  0  0  0
 0  0   4132 2310512 402276 20334420    0    0     0   928 8196 8811  9  6 85  0  0  0
 1  0   4132 2308420 402276 20334440    0    0     0   112 3172 2155  4  2 93  0  0  0
 1  0   4132 2308100 402276 20334468    0    0     0   436 3454 2423  5  3 93  0  0  0
 0  0   4132 2307160 402276 20334500    0    0     0   112 3764 2450  9  2 88  0  0  0
 0  0   4132 2310728 402276 20334540    0    0     0    92 3121 2113  4  2 94  0  0  0
 2  0   4132 2308900 402276 20334556    0    0     0   196 3701 2722  5  3 91  0  0  0
 0  0   4132 2324116 402276 20334604    0    0     0  1144 4709 3139  6  4 89  0  0  0
 0  0   4132 2315920 402276 20334620    0    0     0   112 3537 2479  5  3 92  0  0  0
 1  0   4132 2327316 402276 20334672    0    0     0    80 3149 2177  4  2 93  0  0  0
 5  0   4132 2322164 402276 20334680    0    0     0   128 4651 3872  8  3 89  0  0  0
 0  0   4132 2322964 402276 20334716    0    0     0    92 3599 2711  5  2 93  0  0  0
 0  0   4132 2317148 402276 20334740    0    0     0   844 4478 2940  7  4 89  0  0  0
 0  0   4132 2324400 402276 20334768    0    0     0   164 3431 2259  5  3 93  0  0  0
 0  0   4132 2322280 402276 20334784    0    0     0   104 3561 2317 10  2 88  0  0  0
 0  0   4132 2320292 402276 20334824    0    0     0   100 3184 2329  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2318528 402276 20334840    0    0     0   144 3129 2088  4  2 94  0  0  0
 0  0   4132 2317176 402276 20334876    0    0     0   276 4308 3320  5  4 90  0  0  0
 0  0   4132 2316864 402276 20334900    0    0     0   108 3166 2132  4  2 94  0  0  0
 0  0   4132 2316108 402276 20334936    0    0     0    80 3180 2247  4  3 93  0  0  0
 0  0   4132 2317100 402276 20334944    0    0     0   124 3202 2211  5  2 93  0  0  0
 1  0   4132 2315136 402276 20334980    0    0     0    80 3019 2205  4  2 94  0  0  0
 0  0   4132 2310628 402276 20334988    0    0     0  1104 4516 3160  6  4 91  0  0  0
 0  0   4132 2308388 402276 20335056    0    0     0    80 3048 1836  4  3 93  0  0  0
 2  0   4132 2305868 402276 20335068    0    0     0   124 3269 2153  5  2 93  0  0  0
 0  0   4132 2306032 402276 20335116    0    0     0   104 3105 2132  4  2 93  0  0  0
 1  0   4132 2306032 402276 20335132    0    0     0   112 3555 2133  9  2 88  0  0  0
 1  0   4132 2304268 402276 20335156    0    0     0   276 3111 2146  4  2 94  0  0  0
 0  0   4132 2301788 402280 20335184    0    0     0  1708 4600 3154  6  4 90  0  0  0
 0  0   4132 2301580 402280 20335228    0    0     0    76 3621 2666  4  2 93  0  0  0
 1  0   4132 2299360 402280 20335280    0    0     0   164 4989 4138  6  3 91  0  0  0
 4  0   4132 2314664 402280 20335316    0    0     0   108 6347 7092  6  4 90  0  0  0
 1  0   4132 2317900 402280 20335332    0    0     0   428 4506 3757  6  3 91  0  0  0
 0  0   4132 2313972 402280 20335396    0    0     0   848 4560 3085  6  4 90  0  0  0
 1  0   4132 2312208 402280 20335400    0    0     0   120 3288 2332  5  2 93  0  0  0
 0  0   4132 2323656 402280 20335452    0    0     0   124 3191 2344  4  2 93  0  0  0
 1  0   4132 2327304 402280 20335456    0    0     0   112 3325 2384  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2324564 402280 20335512    0    0     0    72 3071 2122  4  2 94  0  0  0
 0  0   4132 2323308 402280 20335524    0    0     0   372 4622 3334 10  4 86  0  0  0
 1  0   4132 2322368 402280 20335696    0    0     0    72 3471 2348  4  3 93  0  0  0
 1  0   4132 2316208 402280 20335704    0    0     0   192 3398 2378  5  3 93  0  0  0
 0  0   4132 2317024 402280 20335764    0    0     0    84 4242 3599  5  3 93  0  0  0
 1  0   4132 2322096 402280 20335764    0    0     0   112 3566 2577  5  3 91  0  0  0
 0  0   4132 2319884 402280 20335832    0    0     0  1256 4601 3163  6  4 90  0  0  0
 0  0   4132 2322592 402280 20335840    0    0     0   116 3138 2178  5  2 93  0  0  0
 0  0   4132 2328952 402280 20335884    0    0     0   100 3053 2046  4  2 94  0  0  0
 0  0   4132 2325452 402280 20335908    0    0     0   104 4970 5344  6  3 91  0  0  0
 0  0   4132 2329152 402280 20335928    0    0     0    88 2973 1989  4  2 93  0  0  0
 1  0   4132 2326504 402280 20335960    0    0     0   272 3755 2637  5  3 91  0  0  0
 1  0   4132 2332640 402280 20335984    0    0     0   948 7138 3332 10  4 86  0  0  0
 0  0   4132 2328088 402280 20336016    0    0     0   128 4909 5170  6  3 91  0  0  0
 0  0   4132 2331076 402280 20336028    0    0     0    80 3072 2137  4  2 94  0  0  0
 0  0   4132 2335056 402280 20336056    0    0     0   104 3393 2359  5  2 92  0  0  0
 1  0   4132 2338972 402280 20336092    0    0     0   240 3050 2105  4  2 94  0  0  0
 0  0   4132 2327792 402280 20336108    0    0     0   848 5046 3570  8  4 88  0  0  0
 0  0   4132 2332932 402280 20336164    0    0     0   116 3473 2479  5  3 93  0  0  0
 0  0   4132 2329212 402280 20336188    0    0     0   104 3211 2178  5  2 93  0  0  0
 0  0   4132 2336516 402280 20336200    0    0     0    80 3132 2133  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2332824 402280 20336240    0    0     0   392 3230 2273  5  2 93  0  0  0
 0  0   4132 2332276 402284 20336280    0    0     0   896 4438 3428  6  4 90  0  0  0
 1  0   4132 2327492 402284 20336320    0    0     0   232 4098 3481  5  3 92  0  0  0
 0  0   4132 2311432 402284 20336364    0    0     0    80 6476 7116  6  4 90  0  0  0
 0  0   4132 2307544 402284 20336392    0    0     0   104 6970 7771 11  3 85  0  0  0
 1  0   4132 2314428 402284 20336420    0    0     0   256 3091 2269  4  2 93  0  0  0
 0  0   4132 2313580 402284 20336428    0    0     0   968 4343 3157  6  3 91  0  0  0
 0  0   4132 2314072 402284 20336492    0    0     0   112 3648 2614  5  3 93  0  0  0
 1  0   4132 2318628 402284 20336492    0    0     0   144 3464 2507  5  2 92  0  0  0
 1  0   4132 2316476 402284 20336544    0    0     0    72 3035 2100  4  2 94  0  0  0
 1  0   4132 2319476 402284 20336548    0    0     0   152 3424 2400  5  3 92  0  0  0
 3  0   4132 2327824 402284 20336612    0    0     0   280 3353 2215  5  3 92  0  0  0
 0  0   4132 2323796 402284 20336620    0    0     0  1072 4508 3106  6  4 90  0  0  0
 0  0   4132 2321024 402284 20336648    0    0     0   100 5095 4770  5  3 93  0  0  0
 1  0   4132 2322476 402284 20336680    0    0     0   112 3099 2205  4  2 93  0  0  0
 1  0   4132 2314872 402284 20336704    0    0     0    72 3686 2277  9  3 88  0  0  0
 0  0   4132 2312856 402284 20336732    0    0     0   364 3376 2471  6  3 92  0  0  0
 5  0   4132 2317372 402284 20336772    0    0     0   152 4348 3013  6  4 89  0  0  0
 0  0   4132 2315608 402284 20336772    0    0     0   112 3122 2173  5  2 93  0  0  0
 0  0   4132 2313340 402284 20336816    0    0     0    84 3028 2051  4  3 93  0  0  0
 0  0   4132 2316584 402284 20336828    0    0     0   124 3146 2114  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
