request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
4695,4696,PRIVATE_IP_001,PRIVATE_IP_015,200,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647193.1615973,1781647193.1672752,5.677938461303711,matched,False,,12,75
4699,4700,PRIVATE_IP_001,PRIVATE_IP_019,135,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647193.4666502,1781647193.4722004,5.550146102905273,matched,False,,12,209
4702,4704,PRIVATE_IP_001,PRIVATE_IP_018,140,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647193.4738405,1781647193.4787533,4.912853240966797,matched,False,,12,209
4720,4738,PRIVATE_IP_001,PRIVATE_IP_017,135,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647193.5258033,1781647193.5298398,4.036426544189453,matched,False,,12,209
4721,4733,PRIVATE_IP_001,PRIVATE_IP_025,135,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647193.5258675,1781647193.52774,1.8725395202636719,matched,False,,12,69
4722,4747,PRIVATE_IP_001,PRIVATE_IP_020,135,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647193.525906,1781647193.5328329,6.926774978637695,matched,False,,12,209
4753,4758,PRIVATE_IP_001,PRIVATE_IP_021,88,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_021,1781647193.5351117,1781647193.540521,5.40924072265625,matched,False,,12,159
4760,4761,PRIVATE_IP_001,PRIVATE_IP_021,177,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647193.5652604,1781647193.5707161,5.455732345581055,matched,False,,12,181
4763,4764,PRIVATE_IP_001,PRIVATE_IP_021,178,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647193.5783665,1781647193.5847719,6.405353546142578,matched,False,,12,181
4766,4767,PRIVATE_IP_001,PRIVATE_IP_015,201,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,1781647194.1353524,1781647194.1422343,6.881952285766602,matched,False,,12,53
4769,4770,PRIVATE_IP_001,PRIVATE_IP_015,202,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,1781647194.1442196,1781647194.1544554,10.235786437988281,matched,False,,12,257
4771,4772,PRIVATE_IP_001,PRIVATE_IP_015,203,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647194.1564329,1781647194.1604486,4.015684127807617,matched,False,,12,185
4773,4774,PRIVATE_IP_001,PRIVATE_IP_015,204,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647194.162703,1781647194.1683054,5.602359771728516,matched,False,,12,75
