frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
154,1781647146.5456004,PRIVATE_IP_021,PRIVATE_IP_001,502,38008,response,0,0,1,0,1,0
155,1781647146.5456448,PRIVATE_IP_001,PRIVATE_IP_021,38008,502,query,0,0,0,0,1,0
156,1781647146.5456848,PRIVATE_IP_014,PRIVATE_IP_001,502,59954,response,53,0,0,0,1,0
157,1781647146.545719,PRIVATE_IP_001,PRIVATE_IP_014,59954,502,query,0,0,0,0,1,0
158,1781647146.5478194,PRIVATE_IP_012,PRIVATE_IP_001,502,57816,response,53,0,0,0,1,0
159,1781647146.5478673,PRIVATE_IP_001,PRIVATE_IP_012,57816,502,query,0,0,0,0,1,0
160,1781647146.5508864,PRIVATE_IP_001,PRIVATE_IP_015,57822,502,query,12,0,0,0,1,0
161,1781647146.550965,PRIVATE_IP_001,PRIVATE_IP_021,43602,502,query,12,0,0,0,1,0
162,1781647146.5513315,PRIVATE_IP_009,PRIVATE_IP_001,502,55732,response,53,0,0,0,1,0
163,1781647146.551375,PRIVATE_IP_001,PRIVATE_IP_009,55732,502,query,0,0,0,0,1,0
164,1781647146.552448,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,12,0,0,0,1,0
165,1781647146.5565565,PRIVATE_IP_015,PRIVATE_IP_001,502,57822,response,11,0,0,0,1,0
166,1781647146.556624,PRIVATE_IP_001,PRIVATE_IP_015,57822,502,query,0,0,0,0,1,0
167,1781647146.5567706,PRIVATE_IP_021,PRIVATE_IP_001,502,43602,response,159,0,0,0,1,0
168,1781647146.5568364,PRIVATE_IP_001,PRIVATE_IP_021,43602,502,query,0,0,0,0,1,0
169,1781647146.556879,PRIVATE_IP_016,PRIVATE_IP_001,502,44840,response,9,0,0,0,1,0
170,1781647146.5569139,PRIVATE_IP_001,PRIVATE_IP_016,44840,502,query,0,0,0,0,1,0
171,1781647146.5584934,PRIVATE_IP_001,PRIVATE_IP_015,57822,502,query,12,0,0,0,1,0
172,1781647146.5585496,PRIVATE_IP_001,PRIVATE_IP_021,43602,502,query,12,0,0,0,1,0
173,1781647146.5613115,PRIVATE_IP_013,PRIVATE_IP_001,502,36868,response,53,0,0,0,1,0
174,1781647146.5614684,PRIVATE_IP_001,PRIVATE_IP_013,36868,502,query,0,0,0,0,1,0
175,1781647146.561571,PRIVATE_IP_015,PRIVATE_IP_001,502,57822,response,11,0,0,0,1,0
176,1781647146.56237,PRIVATE_IP_021,PRIVATE_IP_001,502,60770,response,181,0,0,0,1,0
177,1781647146.5624404,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,0,0,0,0,1,0
