frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
200,1781647147.4514172,PRIVATE_IP_001,PRIVATE_IP_018,51812,502,query,89,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018
201,1781647147.454618,PRIVATE_IP_019,PRIVATE_IP_001,502,39078,response,94,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
203,1781647147.4572663,PRIVATE_IP_018,PRIVATE_IP_001,502,51812,response,89,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
205,1781647147.4639118,PRIVATE_IP_001,PRIVATE_IP_026,52028,502,query,89,0,6,1,4,4,Read Input Registers,False,,0.0,30.0,,,12,12,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026
206,1781647147.4642894,PRIVATE_IP_001,PRIVATE_IP_021,45928,502,query,89,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021
207,1781647147.4662051,PRIVATE_IP_026,PRIVATE_IP_001,502,52028,response,89,0,63,1,4,4,Read Input Registers,False,,,,60.0,REDACTED_PAYLOAD,69,69,
209,1781647147.4702032,PRIVATE_IP_021,PRIVATE_IP_001,502,45928,response,89,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
246,1781647147.5230985,PRIVATE_IP_001,PRIVATE_IP_022,43602,502,query,252,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
250,1781647147.529879,PRIVATE_IP_022,PRIVATE_IP_001,502,43602,response,252,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
256,1781647147.5532448,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,85,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
257,1781647147.5621061,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,85,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
259,1781647147.5695062,PRIVATE_IP_001,PRIVATE_IP_022,60770,502,query,86,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
260,1781647147.5750852,PRIVATE_IP_022,PRIVATE_IP_001,502,60770,response,86,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
263,1781647148.106514,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,17,0,6,1,3,3,Read Holding Registers,False,,300.0,22.0,,,12,12,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016
264,1781647148.112774,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,17,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
266,1781647148.1219704,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,18,0,6,1,3,3,Read Holding Registers,False,,1.0,124.0,,,12,12,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016
267,1781647148.1279786,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,18,0,251,1,3,3,Read Holding Registers,False,,,,248.0,REDACTED_PAYLOAD,257,257,
268,1781647148.131305,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,19,0,6,1,3,3,Read Holding Registers,False,,125.0,88.0,,,12,12,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016
269,1781647148.1356995,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,19,0,179,1,3,3,Read Holding Registers,False,,,,176.0,REDACTED_PAYLOAD,185,185,
270,1781647148.138492,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,20,0,6,1,3,3,Read Holding Registers,False,,101.0,33.0,,,12,12,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016
271,1781647148.1426845,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,20,0,69,1,3,3,Read Holding Registers,False,,,,66.0,REDACTED_PAYLOAD,75,75,
275,1781647148.4376051,PRIVATE_IP_001,PRIVATE_IP_020,48364,502,query,90,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020
276,1781647148.4434888,PRIVATE_IP_020,PRIVATE_IP_001,502,48364,response,90,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
278,1781647148.454793,PRIVATE_IP_001,PRIVATE_IP_019,39078,502,query,95,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019
279,1781647148.456146,PRIVATE_IP_001,PRIVATE_IP_018,51812,502,query,90,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018
280,1781647148.459481,PRIVATE_IP_019,PRIVATE_IP_001,502,39078,response,95,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
282,1781647148.4607053,PRIVATE_IP_018,PRIVATE_IP_001,502,51812,response,90,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
284,1781647148.4657147,PRIVATE_IP_001,PRIVATE_IP_026,52028,502,query,90,0,6,1,4,4,Read Input Registers,False,,0.0,30.0,,,12,12,fc4:unit1:reg0:qty30:serverPRIVATE_IP_026
285,1781647148.4668574,PRIVATE_IP_001,PRIVATE_IP_021,45928,502,query,90,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021
286,1781647148.4703383,PRIVATE_IP_026,PRIVATE_IP_001,502,52028,response,90,0,63,1,4,4,Read Input Registers,False,,,,60.0,REDACTED_PAYLOAD,69,69,
288,1781647148.4740944,PRIVATE_IP_021,PRIVATE_IP_001,502,45928,response,90,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
328,1781647148.5263085,PRIVATE_IP_001,PRIVATE_IP_013,57816,502,query,186,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013
329,1781647148.5263767,PRIVATE_IP_001,PRIVATE_IP_010,55732,502,query,186,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010
330,1781647148.5264194,PRIVATE_IP_001,PRIVATE_IP_015,59954,502,query,186,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_015
338,1781647148.5370407,PRIVATE_IP_001,PRIVATE_IP_014,36868,502,query,186,0,6,1,3,3,Read Holding Registers,False,,0.0,22.0,,,12,12,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014
339,1781647148.5371335,PRIVATE_IP_001,PRIVATE_IP_020,48838,502,query,186,0,6,1,3,3,Read Holding Registers,False,,0.0,76.0,,,12,12,fc3:unit1:reg0:qty76:serverPRIVATE_IP_020
342,1781647148.5411932,PRIVATE_IP_001,PRIVATE_IP_019,42228,502,query,170,0,6,1,3,3,Read Holding Registers,False,,53.0,1.0,,,12,12,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019
