sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
111,110,24032.0,4.03515625,2142.5703125,393.51953125,19966.29296875,22502.3828125,21889.4296875,91.08451101656125,1529.6171875,6.364918390063249,0.0,0.0,4849.0,7.0,4.0,89.0,0.0
112,111,24032.0,4.03515625,2145.8125,393.51953125,19966.3359375,22505.66796875,21886.1875,91.07101989014647,1526.33203125,6.35124846558755,0.0,0.0,2761.0,5.0,3.0,92.0,0.0
113,112,24032.0,4.03515625,2147.39453125,393.51953125,19966.3515625,22507.265625,21884.60546875,91.06443687063083,1524.734375,6.344600428595207,0.0,0.0,1960.0,5.0,3.0,93.0,0.0
114,113,24032.0,4.03515625,2146.859375,393.51953125,19966.39453125,22506.7734375,21885.140625,91.06666371920772,1525.2265625,6.346648479111185,0.0,0.0,2133.0,4.0,2.0,93.0,0.0
115,114,24032.0,4.03515625,2149.5390625,393.51953125,19966.41796875,22509.4765625,21882.4609375,91.05551322195407,1522.5234375,6.3354004556424774,0.0,0.0,3916.0,5.0,3.0,92.0,0.0
116,115,24032.0,4.03515625,2147.35546875,393.51953125,19966.45703125,22507.33203125,21884.64453125,91.06459941432257,1524.66796875,6.344324104319241,0.0,0.0,2380.0,4.0,3.0,93.0,0.0
117,116,24032.0,4.03515625,2150.02734375,393.51953125,19966.48828125,22510.03515625,21881.97265625,91.05348142580726,1521.96484375,6.3330760808505335,0.0,0.0,3053.0,6.0,4.0,90.0,0.0
118,117,24032.0,4.03515625,2150.37109375,393.51953125,19966.50390625,22510.39453125,21881.62890625,91.0520510413199,1521.60546875,6.3315806788864855,0.0,0.0,2414.0,5.0,3.0,92.0,0.0
119,118,24032.0,4.03515625,2149.8828125,393.51953125,19966.54296875,22509.9453125,21882.1171875,91.05408283746671,1522.0546875,6.333449931341545,0.0,0.0,1894.0,9.0,2.0,89.0,0.0
120,119,24032.0,4.03515625,2155.546875,393.51953125,19966.5546875,22515.62109375,21876.453125,91.03051400216378,1516.37890625,6.309832332931093,0.0,0.0,2320.0,5.0,2.0,93.0,0.0
121,120,24032.0,4.03515625,2155.0546875,393.51953125,19966.59765625,22515.171875,21876.9453125,91.03256205267975,1516.828125,6.311701585386152,0.0,0.0,2208.0,4.0,2.0,94.0,0.0
122,121,24032.0,4.03515625,2151.39453125,393.51953125,19966.62109375,22511.53515625,21880.60546875,91.04779239659621,1520.46484375,6.32683440308755,0.0,0.0,3072.0,7.0,4.0,89.0,1.0
123,122,24032.0,4.03515625,2155.1796875,393.51953125,19966.63671875,22515.3359375,21876.8203125,91.03204191286618,1516.6640625,6.311018901880826,0.0,0.0,2094.0,4.0,2.0,93.0,0.0
