source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_net_dev.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_net_dev.log,sanitized_text,text identifiers and sensitive values redacted,1449074
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ss_after.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ss_after.log,sanitized_text,text identifiers and sensitive values redacted,78
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ss_before.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ss_before.log,sanitized_text,text identifiers and sensitive values redacted,78
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_502.bin,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_502.bin.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",730182
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_502.hex,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_502.hex.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",1490000
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_strings.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tcp_payload_strings.txt.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",10
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tracepath_PRIVATE_IP_021.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tracepath_PRIVATE_IP_021.log,sanitized_text,text identifiers and sensitive values redacted,311
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tshark_capture.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/tshark_capture.log,sanitized_text,text identifiers and sensitive values redacted,43
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/vmstat.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/vmstat.log,sanitized_text,text identifiers and sensitive values redacted,28620
Baseline/Res_SCADA_red/modbus_characterizer_v4.py,Baseline/Res_SCADA_red/modbus_characterizer_v4.py,sanitized_text,text identifiers and sensitive values redacted,34718
Baseline/Res_SCADA_red/modbus_tun0_300s_20260616_165905.pcapng,Baseline/Res_SCADA_red/modbus_tun0_300s_20260616_165905.pcapng.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",2913944
Baseline/Res_SCADA_red/modbus_tun0_300s_20260616_165905.pcapng.log,Baseline/Res_SCADA_red/modbus_tun0_300s_20260616_165905.pcapng.log,sanitized_text,text identifiers and sensitive values redacted,15053
Baseline/Res_SCADA_red/Res_SCADA.rar,Baseline/Res_SCADA_red/Res_SCADA.rar.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",1740556
Baseline/Res_SCADA_red/scada_probe_reprocess_v0_5.sh,Baseline/Res_SCADA_red/scada_probe_reprocess_v0_5.sh,sanitized_text,text identifiers and sensitive values redacted,66130
Baseline/Res_SCADA_red/scada_probe_tun0_192_168_222_15_20260529_154853.log,Baseline/Res_SCADA_red/scada_probe_tun0_192_168_222_15_20260529_154853.log,sanitized_text,text identifiers and sensitive values redacted,917
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/modbus_profile_report.html,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/modbus_profile_report.html,sanitized_text,text identifiers and sensitive values redacted,684602
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/endpoint_summary.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/endpoint_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1197
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/function_summary.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/function_summary.csv,sanitized_text,text identifiers and sensitive values redacted,231
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/interpretation.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/interpretation.csv,sanitized_text,text identifiers and sensitive values redacted,1188
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/modbus_adus.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/modbus_adus.csv,sanitized_text,text identifiers and sensitive values redacted,2494800
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/modbus_transactions.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/modbus_transactions.csv,sanitized_text,text identifiers and sensitive values redacted,1065674
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/polling_summary.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/polling_summary.csv,sanitized_text,text identifiers and sensitive values redacted,4134
Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/register_activity.csv,Baseline/Res_SCADA_red/analisis_modbus_v4_tun0_300s/csv/register_activity.csv,sanitized_text,text identifiers and sensitive values redacted,4447
