procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1375588 402144 20416260    0    0     0  1104 6525 7740  5  5 90  0  0  0
 0  0   2328 1391188 402144 20416292    0    0     0   344 2580 1882  2  2 96  0  0  0
 0  0   2328 1386184 402144 20416316    0    0     0   152 2305 1973  2  2 96  0  0  0
 0  0   2328 1390664 402144 20416340    0    0     0    80 2287 1824  2  2 96  0  0  0
 0  0   2328 1376332 402144 20416368    0    0     0   268 4210 4560  3  3 94  0  0  0
 2  0   2328 1382548 402144 20416384    0    0     0   136 2415 1936  2  2 96  0  0  0
 0  0   2328 1378276 402144 20416420    0    0     0   228 5390 5455  5  4 91  0  0  0
 1  0   2328 1371280 402144 20416432    0    0     0   232 2509 2050  3  2 96  0  0  0
 0  0   2328 1368788 402144 20416468    0    0     0   112 3636 3718  3  2 95  0  0  0
 0  0   2328 1373056 402144 20416492    0    0     0    80 2184 1791  2  2 96  0  0  0
 0  0   2328 1372304 402144 20416512    0    0     0   256 2240 1846  2  2 97  0  0  0
 0  0   2328 1372964 402144 20416680    0    0     0  1280 3867 3028  3  4 93  0  0  0
 0  0   2328 1367676 402144 20416696    0    0     0   304 2712 2164  3  2 95  0  0  0
 0  0   2328 1371156 402144 20416736    0    0     0    88 3581 3878  3  2 95  0  0  0
 5  0   2328 1370536 402144 20416744    0    0     0    96 2667 1982  5  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1370032 402144 20416776    0    0     0   240 2275 1774  2  2 96  0  0  0
 1  0   2328 1366768 402144 20416800    0    0     0   272 3781 3149  4  4 92  0  0  0
 0  0   2328 1367368 402144 20416832    0    0     0   168 2138 1695  2  2 96  0  0  0
 0  0   2328 1366612 402144 20416840    0    0     0   116 2285 1832  2  2 96  0  0  0
 1  0   2328 1374692 402144 20416880    0    0     0    88 2310 1850  2  2 96  0  0  0
 0  0   2328 1373452 402144 20416916    0    0     0   280 2201 1852  2  1 97  0  0  0
 0  0   2328 1372020 402144 20416944    0    0     0  1248 3888 2900  3  4 93  0  0  0
 1  0   2328 1371544 402144 20416984    0    0     0   268 2414 1971  2  2 96  0  0  0
 0  0   2328 1371544 402144 20416992    0    0     0    80 2053 1659  2  2 96  0  0  0
