frame_index,adu_index,time_epoch,time_s,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,direction,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,function_code,function_base,function_name,is_exception,exception_code,exception_name,start_addr,quantity,byte_count,write_value,tcp_payload_bytes,adu_bytes,pdu_hex,parse_note,register_signature
169,1,1780087736.9092646,1.1614618301391602,PRIVATE_IP_001,PRIVATE_IP_022,53918,502,PA,3061729718,6004370,Query,PRIVATE_IP_001,PRIVATE_IP_022,53918,502,167,1,3,3,Read Holding Registers,False,,,0.0,36.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_022|U1|FC3|addr=0|qty=36
170,1,1780087736.9093702,1.1615674495697021,PRIVATE_IP_001,PRIVATE_IP_014,39332,502,PA,2299193493,12474408,Query,PRIVATE_IP_001,PRIVATE_IP_014,39332,502,167,1,3,3,Read Holding Registers,False,,,0.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_014|U1|FC3|addr=0|qty=22
171,1,1780087736.9094687,1.161665916442871,PRIVATE_IP_001,PRIVATE_IP_009,36786,502,PA,1132982469,15252303,Query,PRIVATE_IP_001,PRIVATE_IP_009,36786,502,167,1,3,3,Read Holding Registers,False,,,0.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_009|U1|FC3|addr=0|qty=22
174,1,1780087736.9110045,1.1632018089294434,PRIVATE_IP_015,PRIVATE_IP_001,502,59144,PA,2113725424,3339724521,Response,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,229,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
177,1,1780087736.9114134,1.1636106967926025,PRIVATE_IP_001,PRIVATE_IP_013,55738,502,PA,23867653,12874548,Query,PRIVATE_IP_001,PRIVATE_IP_013,55738,502,167,1,3,3,Read Holding Registers,False,,,0.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_013|U1|FC3|addr=0|qty=22
178,1,1780087736.911491,1.1636881828308105,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,PA,3244923952,1281755227,Query,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,193,1,3,3,Read Holding Registers,False,,,0.0,75.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|addr=0|qty=75
179,1,1780087736.9114995,1.1636967658996582,PRIVATE_IP_022,PRIVATE_IP_001,502,53918,PA,6004370,3061729730,Response,PRIVATE_IP_001,PRIVATE_IP_022,53918,502,167,1,3,3,Read Holding Registers,False,,,,,72.0,,81,81,REDACTED_PAYLOAD,ok,PRIVATE_IP_022|U1|FC3|no_addr
183,1,1780087736.9142067,1.1664040088653564,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,PA,3339724521,2113725435,Query,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,230,1,3,3,Read Holding Registers,False,,,215.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=215|qty=1
184,1,1780087736.9142735,1.1664707660675049,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,PA,1250294598,4223015634,Query,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,78,1,4,4,Read Input Registers,False,,,0.0,30.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_025|U1|FC4|addr=0|qty=30
185,1,1780087736.9143076,1.1665048599243164,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353283,655793317,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,194,1,3,3,Read Holding Registers,False,,,301.0,22.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=301|qty=22
186,1,1780087736.915094,1.1672911643981934,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,PA,1281755227,3244923964,Response,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,193,1,3,3,Read Holding Registers,False,,,,,150.0,,159,159,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|no_addr
188,1,1780087736.9161603,1.1683576107025146,PRIVATE_IP_025,PRIVATE_IP_001,502,36268,PA,4223015634,1250294610,Response,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,78,1,4,4,Read Input Registers,False,,,,,60.0,,69,69,REDACTED_PAYLOAD,ok,PRIVATE_IP_025|U1|FC4|no_addr
190,1,1780087736.918289,1.1704862117767334,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,PA,3244923964,1281755386,Query,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,194,1,3,3,Read Holding Registers,False,,,3.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|addr=3|qty=1
191,1,1780087736.9202464,1.1724436283111572,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655793317,2098353295,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,194,1,3,3,Read Holding Registers,False,,,,,44.0,,53,53,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
193,1,1780087736.9213295,1.1735267639160156,PRIVATE_IP_015,PRIVATE_IP_001,502,59144,PA,2113725435,3339724533,Response,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,230,1,3,3,Read Holding Registers,False,,,,,2.0,,11,11,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
194,1,1780087736.92265,1.1748473644256592,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,PA,2098353295,655793370,Query,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,195,1,3,3,Read Holding Registers,False,,,2.0,123.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=2|qty=123
