frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
184,1.1664707660675049,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,Query,12,0,0,0,0,PA
185,1.1665048599243164,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
186,1.1672911643981934,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,Response,159,0,0,0,0,PA
187,1.1673460006713867,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,0,0,0,0,0,A
188,1.1683576107025146,PRIVATE_IP_025,PRIVATE_IP_001,502,36268,Response,69,0,0,0,0,PA
189,1.1684157848358154,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,Query,0,0,0,0,0,A
190,1.1704862117767334,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,12,0,0,0,0,PA
191,1.1724436283111572,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,53,0,0,0,0,PA
192,1.1725168228149414,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,0,0,0,0,0,A
193,1.1735267639160156,PRIVATE_IP_015,PRIVATE_IP_001,502,59144,Response,11,0,0,0,0,PA
194,1.1748473644256592,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
195,1.1800827980041504,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,Response,11,0,0,0,0,PA
196,1.1821353435516357,PRIVATE_IP_009,PRIVATE_IP_001,502,36786,Response,53,0,0,0,0,PA
197,1.182199239730835,PRIVATE_IP_001,PRIVATE_IP_009,36786,502,Query,0,0,0,0,0,A
198,1.182492733001709,PRIVATE_IP_014,PRIVATE_IP_001,502,39332,Response,53,0,0,0,0,PA
199,1.1825382709503174,PRIVATE_IP_001,PRIVATE_IP_014,39332,502,Query,0,0,0,0,0,A
200,1.1825652122497559,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,12,0,0,0,0,PA
201,1.1847803592681885,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,255,0,0,0,0,PA
202,1.1854398250579834,PRIVATE_IP_013,PRIVATE_IP_001,502,55738,Response,53,0,0,0,0,PA
203,1.1854689121246338,PRIVATE_IP_001,PRIVATE_IP_013,55738,502,Query,0,0,0,0,0,A
204,1.1898415088653564,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
205,1.1939167976379395,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,Response,11,0,0,0,0,PA
206,1.1955273151397705,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,185,0,0,0,0,PA
207,1.214453935623169,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,Query,0,0,0,0,0,A
208,1.2344517707824707,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,0,0,0,0,0,A
209,1.2364261150360107,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,0,0,0,0,0,A
221,1.8946588039398193,PRIVATE_IP_001,PRIVATE_IP_011,38168,502,Query,0,1,0,0,0,S
222,2.0007269382476807,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,12,0,0,0,0,PA
223,2.000863790512085,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,12,0,0,0,0,PA
224,2.0044381618499756,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,Response,209,0,0,0,0,PA
225,2.0044939517974854,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,0,0,0,0,0,A
226,2.0057356357574463,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,Response,209,0,0,0,0,PA
227,2.0057663917541504,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,0,0,0,0,0,A
228,2.0204896926879883,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,12,0,0,0,0,PA
229,2.0260350704193115,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,Response,209,0,0,0,0,PA
230,2.026144504547119,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,0,0,0,0,0,A
231,2.0896527767181396,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,12,0,0,0,0,PA
232,2.094344139099121,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,Response,209,0,0,0,0,PA
233,2.09447979927063,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,0,0,0,0,0,A
244,2.1327881813049316,PRIVATE_IP_001,PRIVATE_IP_015,38304,502,Query,0,1,0,0,0,S
245,2.1328372955322266,PRIVATE_IP_001,PRIVATE_IP_017,54564,502,Query,0,1,0,0,0,S
246,2.132873058319092,PRIVATE_IP_001,PRIVATE_IP_018,38606,502,Query,0,1,0,0,0,S
