procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1514320 420504 21001072    0    0     0   136 3557 2442  9  2 89  0  0  0
 1  0   4132 1531836 420504 21001084    0    0     0   112 3395 2353  5  3 92  0  0  0
 1  0   4132 1537576 420504 21001132    0    0     0   380 4765 4505  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1534576 420504 21001148    0    0     0   180 4804 3559  7  4 89  0  0  0
 0  0   4132 1532316 420504 21001200    0    0     0   184 3064 2229  5  2 93  0  0  0
 0  0   4132 1532316 420504 21001208    0    0     0   192 3237 2302  5  2 93  0  0  0
 0  0   4132 1532092 420504 21001244    0    0     0    92 3022 2154  4  2 94  0  0  0
 0  0   4132 1531336 420504 21001248    0    0     0   464 3513 2417  5  2 93  0  0  0
 0  0   4132 1527624 420504 21001296    0    0     0  1068 4388 2986  6  4 90  0  0  0
 0  0   4132 1525860 420504 21001312    0    0     0   108 3505 2526  5  3 92  0  0  0
 0  0   4132 1534208 420504 21001332    0    0     0   132 3070 2170  4  2 94  0  0  0
 2  0   4132 1538500 420504 21001360    0    0     0   112 3226 2332  5  2 93  0  0  0
 0  0   4132 1533740 420504 21001412    0    0     0   384 5622 5419  6  3 91  0  0  0
 0  0   4132 1532388 420504 21001444    0    0     0   176 9228 3449 12  5 84  0  0  0
 0  0   4132 1524184 420504 21001456    0    0     0    92 4827 4187  6  3 91  0  0  0
 0  0   4132 1521412 420504 21001500    0    0     0   180 3326 2332  4  2 93  0  0  0
 7  0   4132 1526732 420504 21001528    0    0     0    72 4043 3558  5  3 92  0  0  0
 1  0   4132 1530372 420504 21001576    0    0     0   432 5197 5288  6  3 91  0  0  0
 1  0   4132 1526592 420504 21001592    0    0     0   344 3802 2714  6  4 90  0  0  0
 0  0   4132 1529052 420504 21001628    0    0     0  1076 4180 2899  5  3 92  0  0  0
 1  0   4132 1527684 420504 21001660    0    0     0   156 3223 2265  5  2 93  0  0  0
 0  0   4132 1525920 420504 21001688    0    0     0   108 3211 2314  4  2 94  1  0  0
 1  0   4132 1525668 420504 21001708    0    0     0   404 3337 2471  5  2 93  0  0  0
 1  0   4132 1532504 420504 21001740    0    0     0   124 3243 2359  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1529284 420504 21001764    0    0     0   144 4128 2996  6  4 90  1  0  0
 0  0   4132 1529284 420504 21001808    0    0     0   212 3836 2658  9  3 88  0  0  0
 0  0   4132 1527268 420504 21001816    0    0     0    88 2958 2099  5  2 93  0  0  0
 1  0   4132 1531804 420504 21001876    0    0     0   824 3465 2479  4  2 93  0  0  0
 0  0   4132 1532044 420504 21001888    0    0     0    84 4807 4353  5  3 91  0  0  0
 0  0   4132 1528040 420504 21001944    0    0     0  1040 4585 3212  6  4 90  0  0  0
 0  0   4132 1526276 420504 21001952    0    0     0   380 3025 2089  4  2 93  0  0  0
 0  0   4132 1522024 420504 21002000    0    0     0   120 3233 2286  4  2 93  0  0  0
 0  0   4132 1527188 420504 21002008    0    0     0   220 4894 4511  5  3 92  0  0  0
 0  0   4132 1527868 420504 21002052    0    0     0   528 3363 2430  5  2 93  0  0  0
 0  0   4132 1526108 420504 21002200    0    0     0   140 5209 3563  6  4 90  0  0  0
 1  0   4132 1524344 420504 21002252    0    0     0   168 3446 2478  4  2 93  0  0  0
 0  0   4132 1522108 420504 21002276    0    0     0   376 3340 2409  5  2 93  0  0  0
 0  0   4132 1520600 420504 21002308    0    0     0   428 3689 2408  9  3 88  0  0  0
 0  0   4132 1520316 420504 21002324    0    0     0   240 3153 2210  4  2 93  0  0  0
 3  0   4132 1517752 420504 21002364    0    0     0   428 4195 3218  6  4 90  0  0  0
